Samples,SU_2,SU_3,SU_1,PU_2,PU_1,PU_3,CU_3,CU_2,CU_1
Group,SU,SU,SU,PU,PU,PU,CU,CU,CU
99.9700567909117,9223.76420700067,7913.30554347275,8131.6325704297,7387.95332767028,8323.28534657247,6345.02325623924,8353.29136201445,7650.72780250919,8897.87676636377
100.932768921312,4611.00357616381,4921.55979690624,5098.71147037796,4939.85610674047,4587.53728006016,5243.10252491031,4876.99827190799,4601.70400470365,4618.22833456813
100.932944063905,4847.3067400524,5131.93668135757,4770.96618638621,5662.14441688782,5282.70935602613,5636.25303370417,4495.39055587156,4625.39368634897,4994.76613616839
100.932948415566,3815.55115489305,3613.58094434458,3537.3630502614,4006.54529107997,3527.31349981525,3438.37700278589,3396.16195148883,3460.28960552464,3655.04013624112
101.060407034669,2119.49869983992,2139.1184287732,5745.28039810878,3770.04399662188,6518.13726018698,18308.6123310075,3278.30519844022,7463.45309625894,5018.77784157904
102.013996250629,4887.32957367432,4949.49706068442,4369.50130862919,4518.01586573268,4084.72454053234,4045.10378651251,4676.30489382324,4360.05930654286,4733.02189281139
102.068028541537,1647.56548149896,4495.67830135051,9533.71179269135,2192.21773855131,1284.30751899587,25504.1824175851,1534.22188011241,6361.0232261449,15139.7452315477
102.068299798682,1888.94926213619,6743.86787988773,10592.7280764552,2963.03015750465,1102.64035428431,39824.8034910516,1488.77077109153,6674.78318093924,20722.0514742657
102.068318309952,2342.28483264655,6972.84456709342,11637.801906512,3124.97082409684,978.514452252127,40615.1549834774,2007.28841663082,9996.7963581915,24053.3607667764
102.068466157909,1745.33891568185,625.199750822298,12406.2156162467,2925.14132192194,1793.65827227716,34312.3482948658,1839.81720447984,8492.48697049917,22770.5866438539
103.054875590191,1757.51417554785,1780.79592564687,1725.64753887651,3487.84378573914,3719.74669118336,3227.40740042927,4316.34437632621,4489.87297731422,4931.1655889601
103.054815983901,1216.2193402549,1287.96054237346,1283.41140020277,3318.21326379846,3298.30424595784,3699.36565250302,3920.23910588961,4496.7556283922,4125.60619508029
103.055036593272,2113.43952446484,2452.80034458629,1828.69440795864,2799.69853243638,2547.23553038313,2937.19000630745,3148.69407438947,2976.26354622289,3374.5871688076
103.055079818068,3356.01743041547,3346.93422177158,4114.59904568995,7583.48613526095,8733.91758535684,7202.74050343732,7819.15052593793,7495.57952711365,8807.91863009641
103.055130833476,4449.24071576597,4171.08460639766,4623.40902198059,12419.5769287003,9752.78849107173,8262.08922713347,14697.5654666955,14309.4121424471,13794.4061352828
103.055328962146,1037.57048049764,1064.00180862366,833.628711184417,894.595172769055,1024.15606353075,583.026314934178,9500.12701620891,7854.44200843092,7569.26384164036
103.055365014316,219449.17935085,225645.826076005,221693.269797502,336182.599277887,342113.71725725,329149.063511325,348286.233357322,337127.60384029,353703.968022643
103.158990098935,4113.65547596951,5048.07950848754,4301.29587411564,12350.7659898646,12700.4296929645,11756.0264501719,11674.3836378852,11365.6417112709,13152.8402383262
104.071107529753,936.960545324609,673.621189434482,696.631561788325,1871.63764042798,2053.00506300649,1803.87731378642,6351.92930405586,6193.27829703775,6590.57223116859
104.071344977016,2735.44276248064,3170.18720811483,3082.29511029877,12299.4953910255,12773.5626527013,13052.8134674463,15415.6990106891,15043.4532665177,17493.2264132463
104.071383986564,7721.2858700454,6087.07750501563,6025.87899277764,16731.1892355891,15906.9564316195,15395.6104417196,19492.7314702357,19372.5648928308,19625.7821571192
104.107883172177,20226.0909734673,20497.6333905109,20574.493636045,1643.07334336689,1325.09919675469,1706.70257737023,13470.0553430243,14930.5364925877,13756.4427132234
104.107920932638,32415.0726827412,34185.6469540011,33573.1502192006,15296.6189347092,14518.9308594037,19515.1553118099,17079.9388828349,15693.3873465636,15307.8094649201
104.107938979162,11939.2205553631,12728.5380991127,12106.1673896805,13962.8286256737,13910.8533220405,14479.6441765833,22035.1110359233,21745.2597094016,22772.1450125683
104.108116368558,113950.697390771,119819.759797443,116892.760219088,85409.3767481885,84624.8576760135,84093.8436215189,82068.4074693828,85100.1511991147,88749.0203849472
105.034308876755,4589.71287661033,4822.05658458846,5036.43769101044,6824.34979690202,7154.98200226991,6508.58037680403,6203.53750080148,6777.53854319482,7736.10773160872
105.034566942657,1269.21266111552,978.7219634749,1009.43927101296,3416.18281938746,4097.0336218141,3987.61302884926,5422.43234672645,5946.85258920567,5260.97807476948
105.070602605781,6888.42013687949,7992.57519731439,6509.62290786771,2692.10425603271,2677.73686664925,2153.52755655962,6406.83708774735,6214.33578662926,5947.0828342612
105.07061126975,2323.94805316927,2305.75004228617,1990.03777486483,1603.03242146972,1507.94585727784,1928.50645378958,10234.743981004,10924.3771098192,10111.6726187459
105.070672112275,1340.60606917779,1342.85777825539,1293.43996023481,8302.66935548086,8549.04953821405,8024.66628860084,9929.45044467983,9811.70127883337,9017.71539416057
105.070685868818,2003.2848919156,2174.98113422347,1797.41958303243,1827.98542828666,1962.31230748478,2017.96198413431,6889.0581895145,7543.60512629286,5915.25771795384
105.070723412503,3685.27747747051,3795.75873827351,3720.62146444779,18997.4109288274,17126.9070815119,17655.2439969377,11939.2521626076,11308.7930550177,11811.6060487982
105.070747634954,2611.35129270109,2132.22402091547,1587.85924076164,4484.39586321191,5395.99413763959,2919.21790147346,8751.26852554863,8582.42073448726,7415.9035634843
105.070760196689,1266.79738643717,1443.87398574537,1262.85183626918,2942.81832310052,3161.05585361224,3154.11658978178,4504.44309887748,4144.73543311298,4152.51555194269
105.070773881083,1290.3578209189,1292.88441305716,1436.90918419599,3795.41370375691,3791.07632013146,3737.5808899271,5180.24066521584,5666.12332342114,4706.5167547211
105.070789765062,4047.23594235497,4602.83194238177,4856.01426147531,3753.79469753302,5101.16504279602,3338.84128375719,5900.85801214847,5680.62302532348,7121.05221452458
105.070793337799,4744.86124421811,4551.87691678065,3817.29493565033,2542.64117334707,3154.05444850019,2978.865808251,14568.2496414318,15967.8326811174,18169.4989887891
105.070804439815,1607.01715659191,1915.78562975455,1187.7032602194,2270.62806474136,1956.54155695426,1523.26561419998,4409.03518299526,3211.9715945599,3260.52641124722
106.042102934603,2232.34412818845,1762.01327407829,1681.49772668421,7569.04939485387,8259.9885363361,5521.88256964936,12644.0285163917,12759.5587781256,11109.4593647553
106.042163491319,812.927192876212,721.597670387077,676.379807942961,6879.79819893651,7565.86302540942,5091.218640609,3240.48420467293,3435.94882860595,1808.92400828628
106.042234966655,718.82945284015,845.875756692331,710.674182431471,9548.77131917942,8767.49138060209,5598.48877661294,4407.38830314768,2928.88860132728,2138.19806010737
106.086642722169,2391.60632342424,2178.91926038177,3977.38617648895,4355.47242253385,2709.07780870783,2853.33882889956,3991.87240886609,7960.27286126885,3282.29779162785
106.087109672399,24139.0287685223,23992.5823660389,22619.6569088243,20384.2671849331,21827.5088642681,19614.5134200449,28533.5283756512,38968.7006466645,27811.9734874915
107.049817935365,35618.8337466732,39383.1343992838,35270.0315724079,2538.16273405295,2335.44146820301,1408.73669465557,7449.79863218522,7429.45630566555,6718.60492673568
107.049828608796,2899.66266347976,2691.73885449921,2185.43946024522,3255.37708433339,3896.15690341461,3297.51160526569,3966.7336601095,4276.5409922728,4119.79547725675
107.049858337585,3762.64924453819,3377.85889476235,3684.24374700252,2782.26207616863,2731.69920371525,2603.13015525712,4861.17321293119,4607.97297467812,4480.49945540995
107.050003333143,5793.17134822909,5841.96518883013,5371.92921790484,5838.89523349503,6460.18717199842,6478.62687489707,5730.26657662735,5602.18084350213,6519.54591929029
107.085947515797,2072.25179197398,2245.71386592638,1925.55180983582,1233.20647014545,1256.47625792864,1039.22434798209,12306.5708145231,12737.9287019751,13183.0748508491
107.086192799781,5824.31206215547,5661.35808259195,4926.19509610348,2976.40458310931,3219.79071709996,3627.16911219725,28791.4061810164,29399.9373435467,30328.4139253728
107.086221966585,11217.8155818663,10203.4823144448,11311.003780888,2493.39649206051,2567.21109854015,2550.00285473233,7841.53553852906,7665.1963352273,6831.78800858528
107.086241179373,5023.42857102583,5713.97452293642,4615.3053128067,1333.94230790963,1886.78167122549,2142.59352863972,14640.0693063442,15197.7223005711,14527.9630391009
107.086272121941,3201.75295441458,2974.13923559441,3336.9565401154,14115.3842001695,12092.6516634746,14231.0399523125,6507.70029101241,6614.9926182059,7041.12788077521
107.086315591515,4486.55738769543,4173.42518949458,3009.68606210089,1666.40285378046,2160.23940130965,1964.02540766669,16629.3817905223,16984.1847410445,18979.953719823
107.086317830787,2139.67050975012,1925.13708790382,1708.84544169144,924.0448982318,1522.05537245416,1462.6091443496,11103.5492419083,11660.8013564392,10730.8783611224
107.086379497204,1401.46493019883,1578.03701152329,1330.77074126319,1247.58009858995,989.878946567052,836.336041562524,6391.79389066364,6488.43013925522,6801.52859503891
107.086405653688,1773.58326853138,2178.31241770712,1777.41367335045,3993.03286801513,4476.21497128163,2079.12364386797,6328.78056878339,6213.52432418857,4279.92642371843
108.962831187125,5908.72421805519,5565.10482141636,5655.40165490574,6831.20330732672,6570.37370068637,6795.70487855626,8493.47115303402,8280.70604218862,8831.8784709124
109.101768803264,1566.21975466294,1637.78544295199,1659.69879248693,1788.27343848878,1676.76816049567,1441.79108771091,8505.57820421746,8509.65298856112,8861.96027808199
109.10177946518,2485.09957759372,2198.11006710391,1953.70342442669,1514.06161459866,1553.3390111002,1373.08686628146,10947.3839231605,11033.913953732,10338.9890539174
109.101789994112,1770.32745225678,1914.04785114613,1984.77057420455,1290.15978558046,1249.2590736398,1362.83352197604,6311.06189721688,6371.62772400179,7252.03080920138
109.101841559395,3850.8127227286,3915.00423067148,3247.15927830441,6451.98621820061,5995.48530442854,6221.95261411196,8364.42374739989,7111.57915828535,8221.1294887085
109.101864678336,3159.34966688598,2978.27250566737,2537.67991410854,3626.2586229254,2821.77357222019,2638.41606200914,7416.39401862503,7209.68936037334,9159.07338120724
109.101890072853,1767.00927633054,2007.74926099117,1973.96917245849,1876.77396078492,2554.46257133959,1721.64437981523,4428.46251133411,5442.43733574198,5613.27558490324
109.101900477567,4729.37901216944,4187.06342324746,4032.09612728008,2622.1616432538,2986.96382555171,2827.00050677164,16510.8974279175,16452.389044406,18441.4414046329
109.101970862118,3903.36543307129,4330.03034021139,3201.27085778251,2366.70642233304,2729.33250902853,2195.42676963902,12693.4839320803,13870.5013951058,17741.8476178525
109.101974668256,2348.36450809467,2371.63913959925,2408.91965254842,1834.0899226602,1955.73320800695,1888.93580817445,7770.55525998387,8649.4451434612,9840.3839921228
109.10200930584,17016.3763838031,17426.4903762004,14743.0064495394,4337.51352766834,6198.77873452804,6188.41651572501,56271.8009631514,57107.9840303616,56932.0228709562
110.009802186637,226271.352793895,228147.344127631,223406.851373656,215056.893946124,222037.743955694,215895.782607797,219065.083047549,220311.000036949,230442.2176769
110.035304924772,1482.30097713026,1301.24697971489,1482.55308600386,5142.47974998052,5569.13905412143,5031.73024554907,8932.40509314707,9133.2809696012,9349.96535495859
110.035400951223,784.487796751776,898.951617333628,845.356211502721,1024.68859389898,1236.14974849846,1040.05005218771,6600.82472679989,5067.45171244632,5298.083865661
110.035665059444,5654.91419497682,6319.53837979079,5956.27421036611,20117.0449054004,19029.8901555651,19496.9731273142,26776.9424110234,26658.1117277074,28403.0400073501
110.036775276998,4051.43912073963,680.461562668801,3836.81759816368,11675.0366122068,12260.8326061174,11975.0187426507,12365.6832915986,10834.7801154578,11208.7172297882
111.044451761468,3209.66871028759,3066.67877180473,3310.48092274931,4930.55382231566,4139.29660695093,4330.16498015556,5156.63894892169,4739.87089754887,4995.7944454857
111.044654875244,1899.16812041208,1644.20564833739,1644.18711366385,3897.49990443415,3805.03773106966,3466.07345528506,3929.54971018763,3415.10484748086,3816.90983613375
111.044744129699,22598.6721790712,23244.547097443,21644.9089195475,1580.27809043268,1474.79078539367,1496.62669727338,1800.36186271565,1889.53351624743,1704.38252082435
111.04481919067,8343.04226589653,8785.7095654173,7738.0368969506,790.079692137422,788.888864560001,677.808645916806,1727.6555025315,1897.49330821974,1764.89978036242
111.044819731956,5732.94319773273,5926.88745899164,5498.75197575066,863.217687461953,714.440279038061,1575.86377531853,855.771571770492,750.071118812094,888.965945800534
111.045093315482,15464.2884446969,14956.0993982651,14343.2242659054,1061.47783194244,977.746430628935,1045.57839669784,1145.17855113748,1646.86131988237,1345.98354833828
112.896468815032,8354.33140918504,8112.29786489327,6472.0015358594,30557.6903192687,31732.1057771481,31058.5361519544,20280.5980469147,20348.087244537,19880.2702263326
113.071680806905,21463.795883024,22671.4489740648,22952.5355109374,1673.34846648007,1445.54012191434,1354.97330310744,2121.22549561037,2164.32212790249,1257.61115776772
113.964752216691,59716.0758070858,67383.0606016451,67650.040070686,60326.0539888478,67823.2913679632,67283.055709549,58653.4577386181,43751.5954598198,59029.0098232177
114.055697864082,9666.88908155829,11706.3318666402,10140.1831524249,6735.4536800269,6313.03276962001,6051.45559509843,18711.4027788585,17776.188034684,18303.3653664941
114.055745081695,8485.78589126731,9983.38158636754,9098.21623889852,8241.87256061805,8513.08217024056,10008.9357375736,13290.3863747383,12876.1697154629,14480.9606592478
114.092083811103,7791.73034929373,8409.26725783583,7159.17724373295,9531.32425107777,9722.09024048336,9370.29974518591,7121.61428984497,8106.47657419853,8003.79219844298
