Samples,SU_2,SU_3,SU_1,PU_2,PU_1,PU_3,QC,QC,QC,QC,CU_3,CU_2,CU_1
Group,SU,SU,SU,PU,PU,PU,QC,QC,QC,QC,CU,CU,CU
99.9700567909117,9223.76420700067,7913.30554347275,8131.6325704297,7387.95332767028,8323.28534657247,6345.02325623924,8638.389159318,8449.99330670493,8130.4317968537,8590.89233186898,8353.29136201445,7650.72780250919,8897.87676636377
100.932768921312,4611.00357616381,4921.55979690624,5098.71147037796,4939.85610674047,4587.53728006016,5243.10252491031,4511.25126051799,4698.13049407903,4947.3290007055,4559.41361574707,4876.99827190799,4601.70400470365,4618.22833456813
100.932944063905,4847.3067400524,5131.93668135757,4770.96618638621,5662.14441688782,5282.70935602613,5636.25303370417,5279.9908042514,5175.53750624182,5424.6379473567,5243.17286645134,4495.39055587156,4625.39368634897,4994.76613616839
100.932948415566,3815.55115489305,3613.58094434458,3537.3630502614,4006.54529107997,3527.31349981525,3438.37700278589,3731.23597292151,3531.76997737257,3653.92595823708,3668.66291595215,3396.16195148883,3460.28960552464,3655.04013624112
101.060407034669,2119.49869983992,2139.1184287732,5745.28039810878,3770.04399662188,6518.13726018698,18308.6123310075,7773.53150275717,6607.26776348852,7029.50653831434,7401.16040164288,3278.30519844022,7463.45309625894,5018.77784157904
102.013996250629,4887.32957367432,4949.49706068442,4369.50130862919,4518.01586573268,4084.72454053234,4045.10378651251,4560.73486502524,4563.74929174797,4847.17370728823,4554.91835738692,4676.30489382324,4360.05930654286,4733.02189281139
102.068028541537,1647.56548149896,4495.67830135051,9533.71179269135,2192.21773855131,1284.30751899587,25504.1824175851,8290.39785077402,8485.63455722884,8510.59029750902,8346.47282792142,1534.22188011241,6361.0232261449,15139.7452315477
102.068299798682,1888.94926213619,6743.86787988773,10592.7280764552,2963.03015750465,1102.64035428431,39824.8034910516,11226.1733271458,10791.4523356656,11248.8080497455,11085.9223928128,1488.77077109153,6674.78318093924,20722.0514742657
102.068318309952,2342.28483264655,6972.84456709342,11637.801906512,3124.97082409684,978.514452252127,40615.1549834774,13323.4711644206,13265.4542009961,13453.6275526965,13301.8895219893,2007.28841663082,9996.7963581915,24053.3607667764
102.068466157909,1745.33891568185,625.199750822298,12406.2156162467,2925.14132192194,1793.65827227716,34312.3482948658,12290.1038556097,11840.111444427,12260.0718552347,12146.3148745026,1839.81720447984,8492.48697049917,22770.5866438539
103.054875590191,1757.51417554785,1780.79592564687,1725.64753887651,3487.84378573914,3719.74669118336,3227.40740042927,8148.47386045216,8163.57729533074,7818.106005435,8161.49436466183,4316.34437632621,4489.87297731422,4931.1655889601
103.054815983901,1216.2193402549,1287.96054237346,1283.41140020277,3318.21326379846,3298.30424595784,3699.36565250302,5029.34045104661,4987.14047457624,5229.56717677657,5011.14763058553,3920.23910588961,4496.7556283922,4125.60619508029
103.055036593272,2113.43952446484,2452.80034458629,1828.69440795864,2799.69853243638,2547.23553038313,2937.19000630745,6768.05768940275,6561.05855083277,6292.27193991268,6713.65163421568,3148.69407438947,2976.26354622289,3374.5871688076
103.055079818068,3356.01743041547,3346.93422177158,4114.59904568995,7583.48613526095,8733.91758535684,7202.74050343732,6743.36944836211,6800.01954739148,6802.39117906213,6759.84344489514,7819.15052593793,7495.57952711365,8807.91863009641
103.055130833476,4449.24071576597,4171.08460639766,4623.40902198059,12419.5769287003,9752.78849107173,8262.08922713347,7527.04892039957,7448.89951905322,7925.74876250015,7492.74313689436,14697.5654666955,14309.4121424471,13794.4061352828
103.055328962146,1037.57048049764,1064.00180862366,833.628711184417,894.595172769055,1024.15606353075,583.026314934178,2888.50638199036,2791.04717461743,2737.21398599991,2860.99341112551,9500.12701620891,7854.44200843092,7569.26384164036
103.055365014316,219449.17935085,225645.826076005,221693.269797502,336182.599277887,342113.71725725,329149.063511325,334280.630274001,335273.334586267,335318.909933563,334569.76405684,348286.233357322,337127.60384029,353703.968022643
103.158990098935,4113.65547596951,5048.07950848754,4301.29587411564,12350.7659898646,12700.4296929645,11756.0264501719,11695.3628275701,11801.7082076498,12013.6714893429,11721.2985742452,11674.3836378852,11365.6417112709,13152.8402383262
104.071107529753,936.960545324609,673.621189434482,696.631561788325,1871.63764042798,2053.00506300649,1803.87731378642,1084.40368479913,1197.21507315243,1064.96104619223,1119.46416827183,6351.92930405586,6193.27829703775,6590.57223116859
