Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,QC,QC,QC,QC,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,QC,QC,QC,QC,CU,CU,CU
108.0205046,1645.79,1390.3955,20465.531,1452.2031,20305.578,20411.953,9380.797,10421.258,11133.164,11313.445,2439.162,2643.164,2401.6348
108.0205065,2570,2788.2246,34181.22,2480.3145,32501.89,31246.812,15415.461,15355.047,17187.703,18809.61,3966.8867,3212,3513.4062
108.0205365,1211,1211.9316,2073.0645,1370,1727.7402,1483.8457,3028.7305,2964.705,3568.4688,3680,8614.164,7654.7773,7880.7266
108.9009076,58060.97,69610.375,28696.812,63644.25,27586.36,27653.14,13955.391,13838.5625,17195.875,18335.172,10801.836,10675.547,10828.492
109.02791,8813.492,8638.773,12275.6875,9732.656,7587.828,7645.7344,9006.625,9235.273,9996.594,10931.75,12862.727,11942.758,11149.4375
109.0280291,5263.457,7128.168,7280.34,6446.2773,4460.074,4450.496,4445.2266,3867.9648,5032.0156,5133.504,8735.18,7959.0195,8279.992
109.0280296,7315.746,6022.7812,19409.922,6621.8477,8921.359,8939.867,8789.664,9145.945,8593.422,9278.3125,15439.789,16005.43,14411.3125
109.028114,3621.5234,3353.998,6490.3984,3208.9219,6298.8438,5867.039,3866.6719,3624.1855,3920.1172,4461.664,4510.746,4210.168,4204.1094
109.0281137,809.5254,864.35205,13791.531,985.22705,14908.625,15232,8240.273,7588.754,10078.273,10722.008,11295.422,11661.914,12434.4375
109.0281755,16432.172,16988.625,5559.1094,16670.875,5109.1016,4755.8438,6411.7734,7119.1367,7711.418,8055.8867,13056.445,13667.102,12542.3125
109.0282126,3507.7168,3884.7988,35405.312,4322.125,36379.406,35473.812,13585.891,14284.789,16445.86,17859.531,5405.0938,4448.5156,5063.0273
109.0282174,31368.594,30112.594,16957.375,29624.781,18662.219,16927.031,8589.375,8982.359,9748.695,9673.484,4093.875,4877.5938,4365.574
109.0282284,697.8623,835.2676,10796.359,767.4282,9907.094,10045.984,4553.9023,5332.6875,5902.828,5968.4844,5529.6836,5284.9453,5542.297
109.028268,2577.207,2489.496,33070.656,2466.6992,23718.188,25379.5,3732.0723,3896.4023,4416.0117,4174.051,3838.957,3565.2207,3864.8965
109.0283269,3789.9883,3659.0508,149522.62,3568.2695,149311.88,149726.38,61317.094,63182.906,66707.125,68384.875,5317.617,4809.078,4988.5625
109.0283972,4492.3477,4159.8633,243252.75,4580.84,244664.25,240705.25,112048.94,113704.625,119066.56,130476.94,4807.3867,4593.801,5573.1953
