Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,CU,CU,CU
109.9321524,2489.5488,1994.0508,3080.0156,2034.8555,3008.2207,3152.8242,3197.6719,3464.1855,3198.879
109.9321668,1932.709,1743,3104.1152,1838,2676.584,2756.4648,3082.6777,3062.289,3179.6738
109.9321801,2102,1945,3104.1152,2016.7188,2934,2756.4648,3318.1172,3062.289,3248.0273
109.9322635,3442.4004,2933.4102,3664.2637,2861.0586,3422.707,3388.5781,3644.6875,3468.287,3777.1992
109.9322923,2680.836,2558.0996,3675.213,2560.7344,3375.834,3372.787,3784.3887,3910.0527,3381.5508
109.9323475,3311,2969.4922,3486.996,2777.789,3373.4375,3452.4297,4241.8164,3622.4492,4008.379
109.9324131,3559.9434,3626.666,4889.5977,3731.4648,4753,5175.043,5716.203,5426.84,5065.953
109.9324267,3654.537,3746.0977,4204.957,4063.4258,4540.914,4100.832,4713.09,4482,4598.2773
109.9324363,4337.047,4083.4668,5227.258,4141.754,4815,5001.3477,5291.961,5485.3086,4758.8633
109.9324402,3168.5996,3160.0137,3651.0312,3250.8848,3435.3008,3778.9531,4241.8164,4164.879,4008.379
110.898037,45005.75,54719.625,24181.36,50673.938,22413.453,23740.812,8497.109,8079.621,9329.711
111.0076059,8407.625,7999.008,1770,8022.824,1672.8633,1778.8018,10171.25,9901.375,10164.602
111.0076394,6061.793,5661.672,1203.7012,5808.4414,1471.3408,1256.3232,9321.906,8504.211,8463.6875
111.0076833,6002.453,5917.336,1521.7646,6314.0977,1385.5947,1328.9912,10155.773,10377.719,9127.594
111.0077179,11187.75,11359.578,1102.7852,11996.555,1235.8906,1306.5693,22002.094,20382.266,19348.89
111.0077914,4532.078,4700.7266,1168.6572,5079.824,976.7969,1335.9033,7947.2383,7852.758,7689.8945
111.0078308,192916.5,195917,95986.81,196149.62,103154.75,101346.25,228819,221713.62,231720.25
111.0079086,444370,484930.25,81794.125,488198.25,85932.19,83864.81,479998.25,490904.75,512213.75
111.0079708,5338.414,3642.877,1126.9639,5923.0234,1259.5547,1179.085,5180.5273,4553.332,4881.0586
111.008246,7493.4883,6852.926,1728.1875,7820.0586,1688.6113,1809.2686,6973.2227,7502.129,6880.746
111.1151521,15499.125,17547.11,0,17409.11,0,0,16669.734,17595.781,18965.766
111.1153145,1823,2266.2305,0,1900.4326,0,0,2794.3984,2555,3008.7559
112.8952751,10857.625,12172.391,5435.824,12628.039,5102,5827.2227,2131.8105,2254.3984,2192
112.9845006,30229.797,29082.828,8087.1094,30016.844,7152.2188,7210.785,15408.68,17164.812,18905.969
112.9845721,45158.656,41488.312,9581.461,43683.125,7576.668,8092.996,21977.297,23823.578,25784.656
112.984618,17939.422,19764.781,23595.375,19067.812,24244.64,24342.031,108736.5,103142.69,118243.5
112.9846214,18815.375,19163.547,22852.156,20560.75,23141,25233.11,94326.44,90598.81,104328.44
112.9846269,16534.61,18602.922,20763.5,17551.25,22880.562,21532.562,87313.81,90905.94,101674.56
112.9846276,19155.469,20349.953,11392.781,19760.656,11737.93,12008.883,67530.375,62990.72,71106.875
112.9846712,16451.672,18013,93243.69,17712.11,103498.625,107557.875,93996.375,95525.375,101428.25
113.0229559,13212.047,13283.445,4616.922,13865.945,4256.793,4345.1953,11224.375,11068.32,11988.82
113.0234269,38477.75,38693.125,68190.44,37136.125,74479.375,78706.25,30721.484,32283.578,33438.344
113.0235227,5971.422,5608.5664,1267,5550.301,1363.208,1389.3242,6075.422,6501.8164,5638.1523
113.0237543,5743.2305,5596.8906,1179.3535,6117.8477,1548.8955,1223.8691,5308.9805,5446.176,5376.047
113.023758,11332.227,12332.477,1036.5615,12793.234,975.81885,985.24756,7606.6836,7773.996,7670.801
113.0237847,14498.5,15390.445,1527.165,16222.984,1335.6221,1845.6504,10017.82,10218.648,10617.695
113.0238084,10020.203,9769.797,1858.0742,10104.805,1651.4912,1946.1475,9130.227,8549.047,8973.742
113.0238861,11424.016,11900.805,2392.9883,11687.273,2303.627,2224.7344,7494.1055,7459.4453,8296.07
113.0239656,8476.398,9790.672,1551.1006,9200.336,1483.1123,1531.167,6877.2227,6911.4805,7201.9766
113.0241529,10622.742,11236.867,1213.6406,11812.867,1061.0693,1174.1357,8909.125,9608.4375,9723.852
114.0245185,6796.578,6386.7383,26847.078,6824.996,28227.906,29687.875,6348.543,6840.074,6998.414
114.9337766,4664.176,4813.6836,7581.492,4458.668,6798.8867,6854.8594,14638.891,14070.609,13050.484
114.9338408,7538.0234,9106.117,11107.852,9689.789,12555.203,12129.852,17418.39,18066.281,18951.625
114.9338814,10450.789,9261.289,11781.883,7282.199,10743.078,11417.93,28207.75,28517.781,28992.422
114.9878521,207946.88,211984,188840.25,210413.38,181551.12,180395.12,250629.5,247716,260138.75
115.0019936,2837.0781,2644.1523,1320,3180.8066,1106.7549,1257.5898,2655.9316,2587.3496,2516.3906
115.002321,3260.2188,3225.1777,1380.7588,3396.7168,1328.6807,1381.1045,4138.535,4471.16,4349.297
115.0026888,3762.9375,3451,712.8135,3583.412,922,849.09326,2262.6875,2413.5,2304.1113
115.002701,44140.5,42476.78,57793.28,43442.656,64056.688,63522.875,45472.312,42200.906,43409.938
115.0029561,41839.188,44959.062,16090.43,42564.344,16608.922,18684.406,27807.86,29237.125,32899
115.0192958,2427.8086,2042.3467,2257.873,1939.1982,2129.3398,2325.2422,2174.414,2421.129,2625.832
115.0195665,17943.438,17478.516,95419.25,18854.219,96051.75,101283.06,20060.016,22256.594,20790.64
115.0387335,2245.373,2259.33,0,2507.2969,0,0,3044.6953,3001.8594,3002.1953
115.03878,5634.8984,5394.176,0,6126.1406,861.82715,0,6304.1914,7023.504,6989.246
115.0538264,0,0,8879.6875,0,9339.773,10129.461,3973.4023,4001.3984,4630.5156
115.9199292,8431.336,7220.535,8823.852,7171.6797,8140.8125,8465.164,9862.695,8563.039,8815.242
115.988782,32735.031,31847.219,29975.812,32596.172,28561.625,27742.547,37939.375,37503.375,39211.062
116.0492056,14768.602,13599.031,2568.0508,13546.047,3201.0078,2919.9668,11060.484,11212.914,10761.398
116.049432,2894.4648,2753.8555,1152.7754,2819.1543,901.16943,1082.8271,3527.246,4057.3867,4186.3164
116.9276167,33607.094,37231.094,31280.75,38349.438,30860.156,33061.344,104396.125,98989.5,103600.75
116.9276186,49092.906,51302.53,47161.094,52201.188,46555.844,49603.062,78934.375,77175.5,81748.56
116.9276276,48600.03,48652.25,46897.594,47163.094,48645.78,47211.656,87455.06,87272.81,96493.25
116.927699,41481.188,36556.656,107757.06,33960.438,94490.75,101570.19,270310,259147,252892.12
116.9277213,174185.25,147982.75,190289.88,115329.5,172128.5,183733.5,531826.5,529797.5,540721.5
116.9731244,5739.2227,6885.965,8152.215,8153.7383,7453.3086,7751.0625,13015.523,15200.75,14938.227
116.9734698,8216.297,6949.5273,8858.43,5589.117,7476.8594,8090.082,23290.016,25437.797,26414.922
116.9856049,35603.938,35540.562,32475.719,35842.344,31394.297,30754.86,42641.938,41297.47,43743.594
117.0174263,5280.914,5110.461,965.00195,5326.8555,1319.6758,1050.8223,6083.621,5837.785,5269.707
117.0176735,3086.873,3264,1326.2852,3936.5566,1166.2051,1610.4678,1693.0527,2244.545,2192.0234
117.0179995,20190.922,18312.031,6203.5117,19114.484,6072.3984,5996.914,19165.875,18679.953,19859.344
117.0183599,3565.4316,3349.1836,1776.4727,3364.918,2276.3516,2080.668,2019.917,1798.8457,1936.2656
117.0331361,665.4131,612.9888,9134.445,875.82666,8508.625,8089.3438,1013.1299,948.0884,1007.17236
117.0332116,944.9263,961.08887,5886.199,926.5869,6125.039,5589.1797,1042.9756,813.3325,964.2549
117.0333373,50404.22,47141.53,3271.2812,50502.156,3558.088,3655.0469,19309.203,19070.375,22805.844
